address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"10/5-7 St James Road, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4301,,existing
"1202S/889 Collins Street, Docklands, Docklands, VIC 3008",Unit,Docklands,false,,,,,,,4113,,existing
"7/9 St Georges Road, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4504,,existing
"511/187 Boundary Road, North Melbourne, North Melbourne, VIC ",Unit,North Melbourne,false,,,,,,,47539,,existing
"G01/881 High Street, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4466,,existing
"6 Lumbrook Parade, Truganina, Truganina, VIC",House,Truganina,true,658606,559815,757397,Medium-High,71,12,5211,new
"8 Prowse Walk, Epping, Epping, VIC",House,Epping,true,833111,708144,958078,Medium-High,66,12,4501,new
"3 Brookside Court, Caroline Springs, Caroline Springs, VIC",House,Caroline Springs,true,691288,587595,794981,High,79,12,4200,new
"12 Kalbow Street, Botanic Ridge, Botanic Ridge, VIC",House,Botanic Ridge,true,929828,790354,1069302,Medium,55,12,4096,new
"45 Hertford Road, Sunshine, Sunshine, VIC",House,Sunshine,true,947636,805491,1089781,Medium,52,12,4506,new
"9/305 Grange Road, Ormond, Ormond, VIC",Unit,Ormond,true,468951,398608,539294,Low-Medium,46,10,3173,new
"10 Earnshaw Drive, Carrum Downs, Carrum Downs, VIC",House,Carrum Downs,true,745338,633537,857139,High,80,12,4504,new
"106/1 Wilfred Road, Ivanhoe East, Ivanhoe East, VIC",Unit,Ivanhoe East,true,1114658,947459,1281857,Low-Medium,46,6,3072,new
"130/6 Paine Street, Newport, Newport, VIC",Unit,Newport,true,744146,632524,855768,Low-Medium,47,8,3075,new
"10/405 Beach Road, Beaumaris, Beaumaris, VIC",Unit,Beaumaris,true,777763,661099,894427,Low-Medium,43,3,3255,new
"2/1 Ford Street, Ringwood, Ringwood, VIC",Unit,Ringwood,true,628840,534514,723166,Low-Medium,46,8,3312,new
"9/14-16 Rennison Street, Parkdale, Parkdale, VIC",Unit,Parkdale,true,579116,492249,665983,Low-Medium,46,8,2851,new
"3/2-3 Kevin Close, Beaconsfield, Beaconsfield, VIC",Unit,Beaconsfield,true,596180,506753,685607,Medium,54,3,3071,new
"201/240-250 McKinnon Road, McKinnon, McKinnon, VIC",Unit,McKinnon,true,646820,549797,743843,Low-Medium,46,5,3174,new
"5/74 Rathmines Road, Hawthorn East, Hawthorn East, VIC",Unit,Hawthorn East,true,473930,402841,545020,Low-Medium,46,4,3121,new
"306/213 Burwood Highway, Burwood East, Burwood East, VIC",Unit,Burwood East,true,664557,564873,764241,Medium,59,5,3125,new
"20/8 Crefden Street, Maidstone, Maidstone, VIC",Unit,Maidstone,true,449809,382338,517280,Low-Medium,46,5,2719,new
"20 Phillip Street, Melton South, Melton, VIC",House,Melton South,true,312780,265863,359697,Medium,51,6,4654,new
"30 Clowes Street, Melton South, Melton, VIC, 3337",House,Melton South,true,312780,265863,359697,Low-Medium,47,6,3684,new
"108/11 Foundation Boulevard, Burwood East, Burwood East, VIC",Unit,Burwood East,true,666699,566694,766704,Medium,58,5,2561,new
"401/233 Maroondah Highway, Ringwood, Ringwood, VIC",Unit,Ringwood,true,628840,534514,723166,Low-Medium,46,8,2386,new
"1 Bayview Court, Highton, Highton, VIC",House,Highton,true,852409,724548,980270,Medium,61,12,4347,new
"903/17 Taylor Street, Moorabbin, Moorabbin, VIC",Unit,Moorabbin,true,596776,507260,686292,Low-Medium,43,3,3113,new
"1/16 Wandsworth Avenue, Deer Park, Deer Park, VIC",Unit,Deer Park,true,536447,456133,616761,Medium-High,74,5,3148,new
"14 Stringy Bark Rise, Croydon North, Croydon North, VIC",House,Croydon North,true,1037300,881705,1192895,Medium,58,12,4177,new
"51 Redditch Crescent, Deer Park, Deer Park, VIC",House,Deer Park,true,462236,392901,531571,Medium,60,12,3671,new
"16 Mary Court, Croydon North, Croydon North, VIC",House,Croydon North,true,1037300,881705,1192895,Medium,58,12,3189,new
"133/116 Main Drive, Macleod, Macleod, VIC",Unit,Macleod,true,687211,584129,790293,Medium,58,5,2760,new
"30 Lyall Street, Hastings, Hastings, VIC",House,Hastings,true,605667,514817,696517,Low-Medium,49,12,4445,new
"6 Lake View Drive, Safety Beach, Safety Beach, VIC",House,Safety Beach,true,1153074,980113,1326035,Low-Medium,47,11,3592,new
"16 Brittingham Court, Macleod, Macleod, VIC",House,Macleod,true,1473155,1252182,1694128,Medium,55,9,2847,new
"7 Pitta Place, Carrum Downs, Carrum Downs, VIC",House,Carrum Downs,true,745338,633537,857139,High,96,12,3695,new
"15/190 Murrumbeena Road, Murrumbeena, Murrumbeena, VIC",Unit,Murrumbeena,true,396365,336910,455820,Medium,59,7,3174,new
"202/36-46 High Street, Preston, Preston, VIC",Unit,Preston,true,521556,443323,599789,Low-Medium,42,2,4084,new
"76 Mulcahy Road, Pakenham, Pakenham, VIC",House,Pakenham,true,890449,756882,1024016,Low-Medium,47,12,4311,new
"3/35-37 Eveline Street, Brunswick, Brunswick, VIC",Unit,Brunswick,true,532396,452537,612255,Low-Medium,46,6,3073,new
"7/5 Phillip Street, Mentone, Mentone, VIC",Unit,Mentone,true,617721,525063,710379,Low-Medium,46,11,3174,new
"35 Paxton Street, Malvern East, Malvern East, VIC, 3145",House,Malvern East,true,2252670,1914770,2590571,Medium,51,6,4300,new
"38 Grundy Grove, Pascoe Vale South, Pascoe Vale South, VIC",House,Pascoe Vale South,true,1261792,1072523,1451061,Medium,61,12,3603,new
"26 Tableland Road, Tarneit, Tarneit, VIC",House,Tarneit,true,607544,516412,698676,Medium-High,66,12,4608,new
"8 Ramsgate Crescent, Truganina, Truganina, VIC",House,Truganina,true,658606,559815,757397,Medium,60,12,3462,new
"16 Rosewood Boulevard, Lysterfield, Lysterfield, VIC",House,Lysterfield,true,1527049,1297992,1756106,Medium,58,12,4504,new
"5 Ashworth Street, Albert Park, Albert Park, VIC",House,Albert Park,true,3140856,2669728,3611984,Low-Medium,46,3,5094,new
"3 Featherdale Road, Wollert, Wollert, VIC",House,Wollert,true,913947,776855,1051039,Medium-High,65,12,4429,new
"6 Casuarina Avenue, Torquay, Torquay, VIC",House,Torquay,true,884619,751926,1017312,Medium-High,67,12,4504,new
"23 Greenglade Court, Blackburn North, Blackburn North, VIC",House,Blackburn North,true,1154316,981169,1327463,High,78,12,4037,new
"11 Yering Place, Chirnside Park, Chirnside Park, VIC",House,Chirnside Park,true,963631,819086,1108176,Medium,51,12,4379,new
"13 Fraser Avenue, Beaconsfield Upper, Beaconsfield Upper, VIC",House,Beaconsfield Upper,true,1943875,1652294,2235456,Low-Medium,47,12,3668,new
"11 Brennan Avenue, Beaconsfield Upper, Beaconsfield Upper, VIC",House,Beaconsfield Upper,true,1943875,1652294,2235456,Low-Medium,47,12,2765,new
"43 Park Street, Seaford, Seaford, VIC",House,Seaford,true,768022,652819,883225,Medium-High,75,12,4609,new
"4/27 Gosford Crescent, Broadmeadows, Broadmeadows, VIC",Unit,Broadmeadows,true,369141,313770,424512,Low-Medium,36,2,4096,new
"8 Harpenden Terrace, Cranbourne, Cranbourne, VIC",House,Cranbourne,true,1123088,954625,1291551,Medium-High,65,12,4504,new
"29 Fosters Road, Keilor Park, Keilor Park, VIC",House,Keilor Park,true,852841,724915,980767,Medium-High,72,12,3585,new
"10 Charlton Street, Blackburn North, Blackburn North, VIC",House,Blackburn North,true,1154316,981169,1327463,High,88,12,3172,new
"1/33 Kincumber Drive, Glen Waverley, Glen Waverley, VIC",Unit,Glen Waverley,true,1008332,857082,1159582,Medium,64,5,3073,new
"27 Tulk Street, Berwick, Berwick, VIC",House,Berwick,true,974753,828540,1120966,Low-Medium,47,12,4369,new
"206/828 Burke Road, Camberwell, Camberwell, VIC",Unit,Camberwell,true,927114,788047,1066181,Low-Medium,46,5,2305,new
"1/10 Pine Court, Aspendale, Aspendale, VIC",Unit,Aspendale,true,791565,672830,910300,Medium,59,10,3190,new
"14/294 Nicholson Street, Seddon, Seddon, VIC, 3011",Unit,Seddon,true,343451,291933,394969,Low-Medium,33,1,4060,new
"1/20 Turnham Avenue, Rosanna, Rosanna, VIC",Unit,Rosanna,true,782393,665034,899752,Low-Medium,46,6,2970,new
"14/5 Beavers Road, Northcote, Northcote, VIC",Unit,Northcote,true,785753,667890,903616,Medium-High,65,3,3174,new
"4/8-10 Golfwood Close, Dingley Village, Dingley Village, VIC",Unit,Dingley Village,true,708938,660162,757714,Medium-High,71,5,3156,new
"2/159 Porter Road, Heidelberg Heights, Heidelberg Heights, VIC",Unit,Heidelberg Heights,true,922155,783832,1060478,Medium,57,3,2363,new
"34 Fairview Avenue, Newtown, Newtown, VIC",House,Newtown,true,1124935,956195,1293675,Medium,61,10,3425,new
"1/135 Ivanhoe Parade, Ivanhoe, Ivanhoe, VIC",Unit,Ivanhoe,true,868533,738253,998813,Low-Medium,46,10,3334,new
"411/1 Danks Street West, Port Melbourne, Port Melbourne, VIC",Unit,Port Melbourne,true,665869,565989,765749,Medium,58,6,3277,new
"41/195 Beaconsfield Parade, Middle Park, Middle Park, VIC",Unit,Middle Park,true,529377,449970,608784,Low-Medium,46,5,2764,new
"1 Heyington Court, Somerville, Somerville, VIC",House,Somerville,true,952007,809206,1094808,Medium,60,12,3483,new
"91 First Avenue, Rosebud, Rosebud, VIC",House,Rosebud,true,650582,552995,748169,Medium,55,12,4507,new
"266 Latrobe Terrace, Newtown, Newtown, VIC",House,Newtown,true,1125976,957080,1294872,Medium,59,10,2352,new
"49 Suffolk Street, West Footscray, West Footscray, VIC",House,West Footscray,true,1632165,1387340,1876990,Medium-High,65,10,4712,new
"3/14 Terrara Road, Vermont, Vermont, VIC",Unit,Vermont,true,678285,576542,780028,Low-Medium,34,2,3994,new
"8/3 Studley Park Road, Kew, Kew, VIC, 3101",Unit,Kew,true,640821,544698,736944,Low-Medium,44,3,3175,new
"1/65 Craigmoor Crescent, Mernda, Mernda, VIC",Unit,Mernda,true,513047,436090,590004,Low-Medium,46,4,3277,new
"2/68 Hewish Road, Croydon, Croydon, VIC",Unit,Croydon,true,559229,475345,643113,Medium,58,4,3173,new
"10/24 Croydon Road, Croydon, Croydon, VIC",Unit,Croydon,true,559229,475345,643113,Medium,60,4,2151,new
"29 Mascoma Street, Strathmore, Strathmore, VIC",House,Strathmore,true,1766123,1501205,2031041,Medium-High,70,7,4216,new
"11 Coridale Boulevard, Lara, Lara, VIC",House,Lara,true,729820,620347,839293,Medium-High,67,12,4445,new
"11 Lineham Drive, Cranbourne East, Cranbourne East, VIC",House,Cranbourne East,true,763751,649188,878314,Medium-High,74,12,4753,new
"24 Jillian Drive, Rye, Rye, VIC",House,Rye,true,769107,653741,884473,Medium,61,12,4095,new
"22 Miller Grove, Kew, Kew, VIC, 3101",House,Kew,true,3189454,2711036,3667872,Low-Medium,40,2,5017,new
"1/13 Rose Avenue, Boronia, Boronia, VIC",Unit,Boronia,true,721346,613144,829548,Medium,59,8,3275,new
"126 Everard Road, Mernda, Mernda, VIC",House,Mernda,true,727953,618760,837146,Medium-High,66,12,3521,new
"402 Lower Plenty Road, Viewbank, Viewbank, VIC",House,Viewbank,true,1137252,966664,1307840,High,79,12,5294,new
"7 Christine Street, Viewbank, Viewbank, VIC",House,Viewbank,true,1137252,966664,1307840,High,80,12,3681,new
"8/894 Burke Road, Canterbury, Canterbury, VIC",Unit,Canterbury,true,887249,754162,1020336,Low-Medium,43,3,3275,new
"1/4 Hopetoun Avenue, Canterbury, Canterbury, VIC",Unit,Canterbury,true,907590,771452,1043728,Low-Medium,43,3,2367,new
"15 Xavier Drive, Wheelers Hill, Wheelers Hill, VIC",House,Wheelers Hill,true,1161456,987238,1335674,Medium,63,9,3373,new
"Unit 208/50 Catamaran Dr, Werribee South, Werribee South, VIC",Unit,Werribee South,true,375253,318965,431541,Medium,58,8,2760,new
"52 Jetty Road, Werribee South, Werribee South, VIC",House,Werribee South,true,474870,403640,546101,Low-Medium,47,11,3275,new
"4 Kerrabee Drive, Mernda, Mernda, VIC",House,Mernda,true,727953,618760,837146,Medium-High,70,12,3480,new
"3/22 Willansby Avenue, Brighton, Brighton, VIC",Unit,Brighton,true,937536,796906,1078166,Low-Medium,43,3,3455,new
"2 El Greco Court, Scoresby, Scoresby, VIC, 3179",House,Scoresby,true,985464,837644,1133284,High,88,12,4533,new
"12 Roberts Road, Belmont, Belmont, VIC",House,Belmont,true,808979,687632,930326,Medium-High,73,12,4505,new
"30 Wilpena Place, Vermont South, Vermont South, VIC, 3133",House,Vermont South,true,1272324,1081475,1463173,High,84,11,4440,new
"32 Illawarra Avenue, Rowville, Rowville, VIC",House,Rowville,true,1161895,987611,1336179,Medium-High,65,12,4571,new
"3/42 Grosvenor Street, Brighton, Brighton, VIC, 3186",Unit,Brighton,true,938302,797557,1079047,Low-Medium,43,3,2783,new
"423/70 Batesford Road, Chadstone, Chadstone, VIC",Unit,Chadstone,true,826220,702287,950153,Low-Medium,46,5,3258,new
"6 Kingston Boulevard, Hoppers Crossing, Hoppers Crossing, VIC",House,Hoppers Crossing,true,590705,502099,679311,Medium,62,12,4332,new
"215 Roslyn Road, Belmont, Belmont, VIC",House,Belmont,true,808979,687632,930326,Medium-High,73,12,3780,new
"41 Tannin Way, Waurn Ponds, Waurn Ponds, VIC",House,Waurn Ponds,true,722350,613998,830702,Medium-High,73,12,3932,new
"5 Ulah Close, Scoresby, Scoresby, VIC, 3179",House,Scoresby,true,985464,837644,1133284,High,83,12,3621,new
"3/11 Silverdale Road, Eaglemont, Eaglemont, VIC",Unit,Eaglemont,true,788163,669939,906387,Medium,55,4,2871,new
"9 Seaview Street, Mount Waverley, Mount Waverley, VIC, 3149",House,Mount Waverley,true,1231910,1047124,1416697,High,79,9,3588,new
"3/6 Kellerher Street, Lalor, Lalor, VIC",Unit,Lalor,true,467401,397291,537511,Medium-High,73,4,3138,new
"6 Bianca Crescent, Greenvale, Greenvale, VIC",House,Greenvale,true,945693,803839,1087547,Low-Medium,47,12,4434,new
"2/17 Anderson Street, Caulfield, Caulfield, VIC",Unit,Caulfield,true,746190,634262,858118,Low-Medium,46,5,3278,new
"14A Poet Road, Bentleigh East, Bentleigh East, VIC",Unit,Bentleigh East,true,1177986,1001288,1354684,High,84,8,4305,new
"121 Windermere Street, Ballarat Central, Ballarat, VIC",House,Ballarat Central,true,576180,489753,662607,Low-Medium,47,4,3481,new
"29 Rhone Grove, Skye, Skye, VIC",House,Skye,true,811477,689755,933199,High,91,12,4375,new
"2/27 Etzel Street, Airport West, Airport West, VIC",Unit,Airport West,true,953523,810495,1096551,Low-Medium,35,2,4228,new
"6/11 Henry Street, Hawthorn, Hawthorn, VIC",Unit,Hawthorn,true,756463,642994,869932,Medium-High,70,7,3269,new
"2/5 Blanche Court, Doncaster East, Doncaster East, VIC",Unit,Doncaster East,true,989566,841131,1138001,Low-Medium,44,3,2464,new
"21 Lodden Street, Sunshine North, Sunshine North, VIC",House,Sunshine North,true,714841,607615,822067,High,96,12,4507,new
"6/49 Electra Street, Williamstown, Williamstown, VIC, 3016",Unit,Williamstown,true,621141,527970,714312,Medium,58,6,3274,new
"8 Sequoia Court, Narre Warren South, Narre Warren South, VIC",House,Narre Warren South,true,907246,771159,1043333,Medium-High,68,12,4712,new
"2/191 Wonga Road, Warranwood, Warranwood, VIC",Unit,Warranwood,true,813182,691205,935159,Medium,60,4,3277,new
"4/20 Crookston Road, Reservoir, Reservoir, VIC",Unit,Reservoir,true,638644,542847,734441,Medium-High,65,5,3279,new
"302/15 Small Street, Hampton, Hampton, VIC",Unit,Hampton,true,651117,553449,748785,Medium,56,5,3378,new
"22 Landau Drive, Warranwood, Warranwood, VIC",House,Warranwood,true,1156094,982680,1329508,High,83,12,3584,new
"167 King Street, Bendigo, Bendigo, VIC",House,Bendigo,true,606254,515316,697192,Medium-High,65,7,3340,new
"1/4 Normanby Street, Hughesdale, Hughesdale, VIC",Unit,Hughesdale,true,815588,693250,937926,Low-Medium,47,9,3008,new
"5/13 Lindsay Avenue, Nunawading, Nunawading, VIC",Unit,Nunawading,true,751857,639078,864636,Low-Medium,46,7,3231,new
"2/17 Burnt Street, Nunawading, Nunawading, VIC",Unit,Nunawading,true,752844,639917,865771,Low-Medium,47,7,2295,new
"26 Garden Street, Blairgowrie, Blairgowrie, VIC",House,Blairgowrie,true,909254,772866,1045642,Low-Medium,47,12,3583,new
"65B Ferguson Road, Leopold, Leopold, VIC",House,Leopold,true,748295,636051,860539,Medium,55,12,4505,new
"2/61 Strachans Road, Mornington, Mornington, VIC",Unit,Mornington,true,810477,688905,932049,Low-Medium,32,2,9723,new
"1/10 Evelyn Street, Pascoe Vale, Pascoe Vale, VIC",Unit,Pascoe Vale,true,651121,553453,748789,Low-Medium,46,4,4192,new
"4/247 Inkerman Street, Balaclava, Balaclava, VIC, 3183",Unit,Balaclava,false,,,,,,,3611,new
"5/62 Gourlay Street, Balaclava, Balaclava, VIC, 3183",Unit,Balaclava,false,,,,,,,3659,new
