address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"13 Brushton Street, Manor Lakes, Manor Lakes, VIC ",House,Manor Lakes,true,618569,525784,711354,Medium-High,74,12,4419,,existing
"1 Dudley Grove, Edithvale, Edithvale, VIC ",House,Edithvale,true,1433567,1218532,1648602,Medium-High,70,12,4489,,existing
"101/158 Francis Street, Yarraville, Yarraville, VIC 3013",Unit,Yarraville,true,545877,465293,626461,Medium-High,70,6,3275,,existing
"52 Purches Street, Mitcham, Mitcham, VIC ",House,Mitcham,true,1206541,1025560,1387522,Medium-High,74,11,3976,,existing
"8/24 Rushall Street, Fairfield, Fairfield, VIC ",Unit,Fairfield,true,621003,527853,714153,Medium,59,12,3398,,existing
"9 Scarlett Street, Rockbank, Rockbank, VIC ",House,Rockbank,true,534664,454464,614864,High,78,12,4547,,existing
"106/337 Balaclava Road, Caulfield North, Caulfield North, VIC ",Unit,Caulfield North,true,507818,431645,583991,Medium,58,4,2518,,existing
"1/15 Fitzpatrick Drive, Altona Meadows, Altona Meadows, VIC ",Unit,Altona Meadows,true,580117,515297,644937,Medium-High,70,6,3190,,existing
"30 Barretts Road, Langwarrin South, Langwarrin South, VIC ",House,Langwarrin South,true,6791,5772,7810,Medium,60,12,3261,,existing
"1309/850 Whitehorse Road, Box Hill, Box Hill, VIC 3128",Unit,Box Hill,true,501051,425893,576209,Low-Medium,46,12,3790,,existing
"1/994 Glen Huntly Road, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470204,399673,540735,Low-Medium,46,4,2046,,existing
"9/8 Lambert Road, Toorak, Toorak, VIC ",Unit,Toorak,true,844331,717681,970981,Low-Medium,43,3,3381,,existing
"8 Rowena Place, Mount Martha, Mount Martha, VIC ",House,Mount Martha,true,1004932,854192,1155672,Low-Medium,47,12,4506,,existing
"104 Ireland Street, West Melbourne, West Melbourne, VIC ",House,West Melbourne,true,5079516,4317589,5841443,Medium,57,12,5120,,existing
"13 Trapani Avenue, Point Cook, Point Cook, VIC ",House,Point Cook,true,1128515,959238,1297792,Low-Medium,48,12,4607,,existing
"3/18 Neilson Street, Bayswater, Bayswater, VIC ",Unit,Bayswater,true,671494,570770,772218,Low-Medium,46,9,2254,,existing
"g19a/399 Burwood Highway, Burwood, Burwood, VIC ",House,Burwood,true,1588840,1350514,1827166,Low-Medium,47,9,3994,,existing
"6 Colby Link, Derrimut, Derrimut, VIC ",House,Derrimut,true,908697,772392,1045002,Medium-High,69,12,4607,,existing
"4/121 Mcdonald Street, Mordialloc, Mordialloc, VIC ",Unit,Mordialloc,true,660056,561048,759064,Medium,59,9,2456,,existing
"11AB Gori Court, Narre Warren North, Narre Warren North, VIC ",House,Narre Warren North,true,1392841,1183915,1601767,Medium,64,12,4098,,existing
"101/112-124 Middleborough Road, Blackburn South, Blackburn South, VIC ",Unit,Blackburn South,true,752755,639842,865668,Medium,56,11,3993,,existing
"221/177 Bonnyvale Road, Ocean Grove, Ocean Grove, VIC ",Unit,Ocean Grove,true,645125,548356,741894,Low-Medium,46,4,3176,,existing
"45 Earlswood Place, Lilydale, Lilydale, VIC ",House,Lilydale,true,1084894,922160,1247628,Low-Medium,47,12,4606,,existing
"209/60 Edgewater Boulevard, Maribyrnong, Maribyrnong, VIC ",Unit,Maribyrnong,true,542698,461293,624103,Medium,58,12,3483,,existing
"22 Edward Freeth Drive, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,781844,664567,899121,High,80,12,4198,,existing
"19 Elder Street, Watsonia, Watsonia, VIC ",House,Watsonia,true,924686,785983,1063389,High,89,12,4298,,existing
"1/1 Meagher Street, Watsonia, Watsonia, VIC ",Unit,Watsonia,true,773718,657660,889776,Medium,60,11,2561,,existing
"217/125 Francis Street, Yarraville, Yarraville, VIC ",Unit,Yarraville,true,545877,465293,626461,Medium-High,70,6,2150,,existing
"2 Andrew Crescent, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,Medium-High,68,12,4405,,existing
"45 Veronica Street, Ferntree Gully, Ferntree Gully, VIC ",House,Ferntree Gully,true,810661,689062,932260,Medium,55,11,4268,,existing
"3 Elizabeth Street, Elsternwick, Elsternwick, VIC ",House,Elsternwick,true,2877971,2446275,3309667,Medium,64,3,4642,,existing
"7 Tennyson Street, Sandringham, Sandringham, VIC ",House,Sandringham,true,1794226,1525092,2063360,Low-Medium,48,5,4691,,existing
"39 Geoffrey Drive, Kilsyth, Kilsyth, VIC ",House,Kilsyth,true,787246,669159,905333,Medium-High,73,12,4439,,existing
"1 Waxflower Crescent, Bundoora, Bundoora, VIC ",Unit,Bundoora,true,754866,641636,868096,Medium,60,12,3668,,existing
"402/39 Ryan Street, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2356,,existing
"11/43 Latham Street, Werribee, Werribee, VIC 3030",Unit,Werribee,true,479773,407807,551739,Medium,64,6,3378,,existing
"2 Henty Street, Dandenong, Dandenong, VIC ",House,Dandenong,true,584300,496655,671945,Medium-High,65,9,4385,,existing
"6 Thornton Close, Hallam, Hallam, VIC ",House,Hallam,true,585048,497291,672805,Medium-High,72,12,4423,,existing
"29 Visage Drive, South Morang, South Morang, VIC ",House,South Morang,true,792536,673656,911416,Medium,60,12,4402,,existing
"414/1044-1046 Mount Alexander Road, Essendon, Essendon, VIC ",Unit,Essendon,true,556804,473283,640325,Low-Medium,46,10,2867,,existing
